"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","Update course","LMS service","Sat Jun 21 03:38:05 GMT 2025","passed","Sat Jun 21 03:38:05 GMT 2025","Update entity","Courses","",""
"","16","Create file with empty directory","LMS service","Sat Jun 21 03:38:12 GMT 2025","passed","Sat Jun 21 03:38:12 GMT 2025","Validate entity","Files","",""
"","23","Get exercises","LMS service","Sat Jun 21 03:38:09 GMT 2025","passed","Sat Jun 21 03:38:09 GMT 2025","Get entities","Exercises","",""
"","549","Create user","LMS service","Sat Jun 21 03:38:13 GMT 2025","passed","Sat Jun 21 03:38:14 GMT 2025","Create entity","Users","",""
"","17","Get file","LMS service","Sat Jun 21 03:38:11 GMT 2025","passed","Sat Jun 21 03:38:11 GMT 2025","Get entity","Files","",""
"","554","Create user","LMS service","Sat Jun 21 03:38:14 GMT 2025","passed","Sat Jun 21 03:38:14 GMT 2025","Create entity","Users","",""
"","545","Login","LMS service","Sat Jun 21 03:38:05 GMT 2025","passed","Sat Jun 21 03:38:05 GMT 2025","Login","Authentication","",""
"","23","Update exercise","LMS service","Sat Jun 21 03:38:10 GMT 2025","passed","Sat Jun 21 03:38:10 GMT 2025","Update entity","Exercises","",""
"","269","Create exercise","LMS service","Sat Jun 21 03:38:07 GMT 2025","passed","Sat Jun 21 03:38:08 GMT 2025","Create entity","Exercises","",""
"","286","Get exercise","LMS service","Sat Jun 21 03:38:08 GMT 2025","passed","Sat Jun 21 03:38:09 GMT 2025","Get entity","Exercises","",""
"","548","Create file","LMS service","Sat Jun 21 03:38:10 GMT 2025","passed","Sat Jun 21 03:38:11 GMT 2025","Create entity","Files","",""
"","11","Get user me","LMS service","Sat Jun 21 03:38:15 GMT 2025","passed","Sat Jun 21 03:38:15 GMT 2025","Get entity","Users","",""
"","263","Create file with empty filename","LMS service","Sat Jun 21 03:38:11 GMT 2025","passed","Sat Jun 21 03:38:12 GMT 2025","Validate entity","Files","",""
"","286","Create user","LMS service","Sat Jun 21 03:38:14 GMT 2025","passed","Sat Jun 21 03:38:14 GMT 2025","Create entity","Users","",""
"","30","Create course","LMS service","Sat Jun 21 03:38:06 GMT 2025","passed","Sat Jun 21 03:38:06 GMT 2025","Create entity","Courses","",""
"","34","Get courses","LMS service","Sat Jun 21 03:38:06 GMT 2025","passed","Sat Jun 21 03:38:06 GMT 2025","Get entities","Courses","",""
"","261","Create file with empty filename and directory","LMS service","Sat Jun 21 03:38:13 GMT 2025","passed","Sat Jun 21 03:38:13 GMT 2025","Validate entity","Files","",""
"","260","Create file with incorrect file id","LMS service","Sat Jun 21 03:38:13 GMT 2025","passed","Sat Jun 21 03:38:14 GMT 2025","Validate entity","Files","",""
"","292","Delete exercise","LMS service","Sat Jun 21 03:38:08 GMT 2025","passed","Sat Jun 21 03:38:08 GMT 2025","Delete entity","Exercises","",""
"","294","Delete file","LMS service","Sat Jun 21 03:38:13 GMT 2025","passed","Sat Jun 21 03:38:13 GMT 2025","Delete entity","Files","",""
