"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","319","Create file","LMS service","Thu Jun 26 03:42:17 GMT 2025","passed","Thu Jun 26 03:42:17 GMT 2025","Create entity","Files","",""
"","35","Create course","LMS service","Thu Jun 26 03:42:13 GMT 2025","passed","Thu Jun 26 03:42:13 GMT 2025","Create entity","Courses","",""
"","546","Login","LMS service","Thu Jun 26 03:42:11 GMT 2025","passed","Thu Jun 26 03:42:12 GMT 2025","Login","Authentication","",""
"","13","Get user me","LMS service","Thu Jun 26 03:42:22 GMT 2025","passed","Thu Jun 26 03:42:22 GMT 2025","Get entity","Users","",""
"","31","Get courses","LMS service","Thu Jun 26 03:42:13 GMT 2025","passed","Thu Jun 26 03:42:13 GMT 2025","Get entities","Courses","",""
"","269","Create file with empty filename","LMS service","Thu Jun 26 03:42:18 GMT 2025","passed","Thu Jun 26 03:42:18 GMT 2025","Validate entity","Files","",""
"","555","Create user","LMS service","Thu Jun 26 03:42:21 GMT 2025","passed","Thu Jun 26 03:42:21 GMT 2025","Create entity","Users","",""
"","292","Get exercise","LMS service","Thu Jun 26 03:42:15 GMT 2025","passed","Thu Jun 26 03:42:16 GMT 2025","Get entity","Exercises","",""
"","266","Create file with incorrect file id","LMS service","Thu Jun 26 03:42:21 GMT 2025","passed","Thu Jun 26 03:42:21 GMT 2025","Validate entity","Files","",""
"","272","Create exercise","LMS service","Thu Jun 26 03:42:14 GMT 2025","passed","Thu Jun 26 03:42:14 GMT 2025","Create entity","Exercises","",""
"","20","Delete file","LMS service","Thu Jun 26 03:42:20 GMT 2025","passed","Thu Jun 26 03:42:20 GMT 2025","Delete entity","Files","",""
"","14","Get file","LMS service","Thu Jun 26 03:42:18 GMT 2025","passed","Thu Jun 26 03:42:18 GMT 2025","Get entity","Files","",""
"","269","Create file with empty filename and directory","LMS service","Thu Jun 26 03:42:19 GMT 2025","passed","Thu Jun 26 03:42:20 GMT 2025","Validate entity","Files","",""
"","17","Delete exercise","LMS service","Thu Jun 26 03:42:15 GMT 2025","passed","Thu Jun 26 03:42:15 GMT 2025","Delete entity","Exercises","",""
"","286","Create file with empty directory","LMS service","Thu Jun 26 03:42:19 GMT 2025","passed","Thu Jun 26 03:42:19 GMT 2025","Validate entity","Files","",""
"","528","Create user","LMS service","Thu Jun 26 03:42:20 GMT 2025","passed","Thu Jun 26 03:42:21 GMT 2025","Create entity","Users","",""
"","18","Get exercises","LMS service","Thu Jun 26 03:42:16 GMT 2025","passed","Thu Jun 26 03:42:16 GMT 2025","Get entities","Exercises","",""
"","287","Create user","LMS service","Thu Jun 26 03:42:21 GMT 2025","passed","Thu Jun 26 03:42:21 GMT 2025","Create entity","Users","",""
"","34","Update course","LMS service","Thu Jun 26 03:42:12 GMT 2025","passed","Thu Jun 26 03:42:12 GMT 2025","Update entity","Courses","",""
"","24","Update exercise","LMS service","Thu Jun 26 03:42:17 GMT 2025","passed","Thu Jun 26 03:42:17 GMT 2025","Update entity","Exercises","",""
