"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","265","Create file with empty filename","LMS service","Tue May 27 03:01:54 GMT 2025","passed","Tue May 27 03:01:54 GMT 2025","Validate entity","Files","",""
"","13","Get user me","LMS service","Tue May 27 03:01:58 GMT 2025","passed","Tue May 27 03:01:58 GMT 2025","Get entity","Users","",""
"","285","Get exercise","LMS service","Tue May 27 03:01:51 GMT 2025","passed","Tue May 27 03:01:51 GMT 2025","Get entity","Exercises","",""
"","535","Create user","LMS service","Tue May 27 03:01:56 GMT 2025","passed","Tue May 27 03:01:56 GMT 2025","Create entity","Users","",""
"","18","Get exercises","LMS service","Tue May 27 03:01:52 GMT 2025","passed","Tue May 27 03:01:52 GMT 2025","Get entities","Exercises","",""
"","549","Login","LMS service","Tue May 27 03:01:47 GMT 2025","passed","Tue May 27 03:01:48 GMT 2025","Login","Authentication","",""
"","31","Create course","LMS service","Tue May 27 03:01:49 GMT 2025","passed","Tue May 27 03:01:49 GMT 2025","Create entity","Courses","",""
"","19","Delete file","LMS service","Tue May 27 03:01:56 GMT 2025","passed","Tue May 27 03:01:56 GMT 2025","Delete entity","Files","",""
"","289","Update exercise","LMS service","Tue May 27 03:01:52 GMT 2025","passed","Tue May 27 03:01:53 GMT 2025","Update entity","Exercises","",""
"","260","Create file with incorrect file id","LMS service","Tue May 27 03:01:56 GMT 2025","passed","Tue May 27 03:01:56 GMT 2025","Validate entity","Files","",""
"","14","Get file","LMS service","Tue May 27 03:01:54 GMT 2025","passed","Tue May 27 03:01:54 GMT 2025","Get entity","Files","",""
"","557","Create user","LMS service","Tue May 27 03:01:56 GMT 2025","passed","Tue May 27 03:01:57 GMT 2025","Create entity","Users","",""
"","287","Create user","LMS service","Tue May 27 03:01:56 GMT 2025","passed","Tue May 27 03:01:57 GMT 2025","Create entity","Users","",""
"","20","Delete exercise","LMS service","Tue May 27 03:01:51 GMT 2025","passed","Tue May 27 03:01:51 GMT 2025","Delete entity","Exercises","",""
"","33","Update course","LMS service","Tue May 27 03:01:48 GMT 2025","passed","Tue May 27 03:01:48 GMT 2025","Update entity","Courses","",""
"","265","Create file with empty directory","LMS service","Tue May 27 03:01:54 GMT 2025","passed","Tue May 27 03:01:55 GMT 2025","Validate entity","Files","",""
"","317","Create file","LMS service","Tue May 27 03:01:53 GMT 2025","passed","Tue May 27 03:01:53 GMT 2025","Create entity","Files","",""
"","29","Get courses","LMS service","Tue May 27 03:01:49 GMT 2025","passed","Tue May 27 03:01:49 GMT 2025","Get entities","Courses","",""
"","270","Create exercise","LMS service","Tue May 27 03:01:50 GMT 2025","passed","Tue May 27 03:01:50 GMT 2025","Create entity","Exercises","",""
"","269","Create file with empty filename and directory","LMS service","Tue May 27 03:01:55 GMT 2025","passed","Tue May 27 03:01:55 GMT 2025","Validate entity","Files","",""
