"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Get user me","LMS service","Tue Oct 28 03:58:37 GMT 2025","passed","Tue Oct 28 03:58:37 GMT 2025","Get entity","Users","",""
"","259","Create file with incorrect file id","LMS service","Tue Oct 28 03:58:36 GMT 2025","passed","Tue Oct 28 03:58:36 GMT 2025","Validate entity","Files","",""
"","544","Login","LMS service","Tue Oct 28 03:58:27 GMT 2025","passed","Tue Oct 28 03:58:28 GMT 2025","Login","Authentication","",""
"","290","Get exercise","LMS service","Tue Oct 28 03:58:31 GMT 2025","passed","Tue Oct 28 03:58:31 GMT 2025","Get entity","Exercises","",""
"","539","Create user","LMS service","Tue Oct 28 03:58:36 GMT 2025","passed","Tue Oct 28 03:58:36 GMT 2025","Create entity","Users","",""
"","34","Create course","LMS service","Tue Oct 28 03:58:29 GMT 2025","passed","Tue Oct 28 03:58:29 GMT 2025","Create entity","Courses","",""
"","266","Create file with empty filename and directory","LMS service","Tue Oct 28 03:58:35 GMT 2025","passed","Tue Oct 28 03:58:35 GMT 2025","Validate entity","Files","",""
"","291","Update exercise","LMS service","Tue Oct 28 03:58:32 GMT 2025","passed","Tue Oct 28 03:58:32 GMT 2025","Update entity","Exercises","",""
"","263","Create file with empty directory","LMS service","Tue Oct 28 03:58:34 GMT 2025","passed","Tue Oct 28 03:58:34 GMT 2025","Validate entity","Files","",""
"","34","Update course","LMS service","Tue Oct 28 03:58:28 GMT 2025","passed","Tue Oct 28 03:58:28 GMT 2025","Update entity","Courses","",""
"","289","Create user","LMS service","Tue Oct 28 03:58:36 GMT 2025","passed","Tue Oct 28 03:58:37 GMT 2025","Create entity","Users","",""
"","20","Get exercises","LMS service","Tue Oct 28 03:58:31 GMT 2025","passed","Tue Oct 28 03:58:31 GMT 2025","Get entities","Exercises","",""
"","15","Get file","LMS service","Tue Oct 28 03:58:33 GMT 2025","passed","Tue Oct 28 03:58:33 GMT 2025","Get entity","Files","",""
"","555","Create user","LMS service","Tue Oct 28 03:58:36 GMT 2025","passed","Tue Oct 28 03:58:37 GMT 2025","Create entity","Users","",""
"","30","Get courses","LMS service","Tue Oct 28 03:58:29 GMT 2025","passed","Tue Oct 28 03:58:29 GMT 2025","Get entities","Courses","",""
"","272","Create exercise","LMS service","Tue Oct 28 03:58:30 GMT 2025","passed","Tue Oct 28 03:58:30 GMT 2025","Create entity","Exercises","",""
"","320","Create file","LMS service","Tue Oct 28 03:58:32 GMT 2025","passed","Tue Oct 28 03:58:33 GMT 2025","Create entity","Files","",""
"","21","Delete file","LMS service","Tue Oct 28 03:58:36 GMT 2025","passed","Tue Oct 28 03:58:36 GMT 2025","Delete entity","Files","",""
"","19","Delete exercise","LMS service","Tue Oct 28 03:58:30 GMT 2025","passed","Tue Oct 28 03:58:30 GMT 2025","Delete entity","Exercises","",""
"","268","Create file with empty filename","LMS service","Tue Oct 28 03:58:34 GMT 2025","passed","Tue Oct 28 03:58:34 GMT 2025","Validate entity","Files","",""
