"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","552","Create user","LMS service","Tue Jul 22 03:54:28 GMT 2025","passed","Tue Jul 22 03:54:29 GMT 2025","Create entity","Users","",""
"","572","Create file","LMS service","Tue Jul 22 03:54:24 GMT 2025","passed","Tue Jul 22 03:54:25 GMT 2025","Create entity","Files","",""
"","31","Get courses","LMS service","Tue Jul 22 03:54:21 GMT 2025","passed","Tue Jul 22 03:54:21 GMT 2025","Get entities","Courses","",""
"","35","Update course","LMS service","Tue Jul 22 03:54:19 GMT 2025","passed","Tue Jul 22 03:54:19 GMT 2025","Update entity","Courses","",""
"","20","Update exercise","LMS service","Tue Jul 22 03:54:24 GMT 2025","passed","Tue Jul 22 03:54:24 GMT 2025","Update entity","Exercises","",""
"","13","Get user me","LMS service","Tue Jul 22 03:54:29 GMT 2025","passed","Tue Jul 22 03:54:29 GMT 2025","Get entity","Users","",""
"","265","Create file with empty filename and directory","LMS service","Tue Jul 22 03:54:27 GMT 2025","passed","Tue Jul 22 03:54:27 GMT 2025","Validate entity","Files","",""
"","285","Get file","LMS service","Tue Jul 22 03:54:25 GMT 2025","passed","Tue Jul 22 03:54:25 GMT 2025","Get entity","Files","",""
"","271","Create exercise","LMS service","Tue Jul 22 03:54:21 GMT 2025","passed","Tue Jul 22 03:54:22 GMT 2025","Create entity","Exercises","",""
"","33","Create course","LMS service","Tue Jul 22 03:54:20 GMT 2025","passed","Tue Jul 22 03:54:21 GMT 2025","Create entity","Courses","",""
"","259","Create file with empty filename","LMS service","Tue Jul 22 03:54:25 GMT 2025","passed","Tue Jul 22 03:54:26 GMT 2025","Validate entity","Files","",""
"","286","Get exercise","LMS service","Tue Jul 22 03:54:23 GMT 2025","passed","Tue Jul 22 03:54:23 GMT 2025","Get entity","Exercises","",""
"","18","Delete exercise","LMS service","Tue Jul 22 03:54:22 GMT 2025","passed","Tue Jul 22 03:54:22 GMT 2025","Delete entity","Exercises","",""
"","537","Create user","LMS service","Tue Jul 22 03:54:27 GMT 2025","passed","Tue Jul 22 03:54:28 GMT 2025","Create entity","Users","",""
"","290","Get exercises","LMS service","Tue Jul 22 03:54:23 GMT 2025","passed","Tue Jul 22 03:54:24 GMT 2025","Get entities","Exercises","",""
"","267","Create file with empty directory","LMS service","Tue Jul 22 03:54:26 GMT 2025","passed","Tue Jul 22 03:54:26 GMT 2025","Validate entity","Files","",""
"","287","Create user","LMS service","Tue Jul 22 03:54:28 GMT 2025","passed","Tue Jul 22 03:54:28 GMT 2025","Create entity","Users","",""
"","267","Create file with incorrect file id","LMS service","Tue Jul 22 03:54:28 GMT 2025","passed","Tue Jul 22 03:54:28 GMT 2025","Validate entity","Files","",""
"","21","Delete file","LMS service","Tue Jul 22 03:54:27 GMT 2025","passed","Tue Jul 22 03:54:27 GMT 2025","Delete entity","Files","",""
"","544","Login","LMS service","Tue Jul 22 03:54:19 GMT 2025","passed","Tue Jul 22 03:54:19 GMT 2025","Login","Authentication","",""
