"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Get courses","LMS service","Thu May 29 03:38:04 GMT 2025","passed","Thu May 29 03:38:04 GMT 2025","Get entities","Courses","",""
"","13","Get user me","LMS service","Thu May 29 03:38:12 GMT 2025","passed","Thu May 29 03:38:12 GMT 2025","Get entity","Users","",""
"","33","Update course","LMS service","Thu May 29 03:38:03 GMT 2025","passed","Thu May 29 03:38:03 GMT 2025","Update entity","Courses","",""
"","270","Create exercise","LMS service","Thu May 29 03:38:05 GMT 2025","passed","Thu May 29 03:38:05 GMT 2025","Create entity","Exercises","",""
"","287","Create user","LMS service","Thu May 29 03:38:11 GMT 2025","passed","Thu May 29 03:38:12 GMT 2025","Create entity","Users","",""
"","267","Create file with empty filename","LMS service","Thu May 29 03:38:09 GMT 2025","passed","Thu May 29 03:38:09 GMT 2025","Validate entity","Files","",""
"","19","Delete exercise","LMS service","Thu May 29 03:38:05 GMT 2025","passed","Thu May 29 03:38:05 GMT 2025","Delete entity","Exercises","",""
"","533","Create user","LMS service","Thu May 29 03:38:11 GMT 2025","passed","Thu May 29 03:38:11 GMT 2025","Create entity","Users","",""
"","287","Get exercise","LMS service","Thu May 29 03:38:06 GMT 2025","passed","Thu May 29 03:38:06 GMT 2025","Get entity","Exercises","",""
"","558","Create user","LMS service","Thu May 29 03:38:11 GMT 2025","passed","Thu May 29 03:38:12 GMT 2025","Create entity","Users","",""
"","315","Create file","LMS service","Thu May 29 03:38:07 GMT 2025","passed","Thu May 29 03:38:08 GMT 2025","Create entity","Files","",""
"","32","Create course","LMS service","Thu May 29 03:38:04 GMT 2025","passed","Thu May 29 03:38:04 GMT 2025","Create entity","Courses","",""
"","264","Create file with incorrect file id","LMS service","Thu May 29 03:38:11 GMT 2025","passed","Thu May 29 03:38:11 GMT 2025","Validate entity","Files","",""
"","546","Login","LMS service","Thu May 29 03:38:02 GMT 2025","passed","Thu May 29 03:38:03 GMT 2025","Login","Authentication","",""
"","19","Delete file","LMS service","Thu May 29 03:38:11 GMT 2025","passed","Thu May 29 03:38:11 GMT 2025","Delete entity","Files","",""
"","269","Create file with empty filename and directory","LMS service","Thu May 29 03:38:10 GMT 2025","passed","Thu May 29 03:38:10 GMT 2025","Validate entity","Files","",""
"","266","Create file with empty directory","LMS service","Thu May 29 03:38:09 GMT 2025","passed","Thu May 29 03:38:10 GMT 2025","Validate entity","Files","",""
"","13","Get file","LMS service","Thu May 29 03:38:08 GMT 2025","passed","Thu May 29 03:38:08 GMT 2025","Get entity","Files","",""
"","20","Get exercises","LMS service","Thu May 29 03:38:07 GMT 2025","passed","Thu May 29 03:38:07 GMT 2025","Get entities","Exercises","",""
"","292","Update exercise","LMS service","Thu May 29 03:38:07 GMT 2025","passed","Thu May 29 03:38:07 GMT 2025","Update entity","Exercises","",""
