"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","288","Create user","LMS service","Sun Jun 08 04:18:21 GMT 2025","passed","Sun Jun 08 04:18:21 GMT 2025","Create entity","Users","",""
"","35","Update course","LMS service","Sun Jun 08 04:18:13 GMT 2025","passed","Sun Jun 08 04:18:13 GMT 2025","Update entity","Courses","",""
"","266","Create file with incorrect file id","LMS service","Sun Jun 08 04:18:21 GMT 2025","passed","Sun Jun 08 04:18:21 GMT 2025","Validate entity","Files","",""
"","19","Delete exercise","LMS service","Sun Jun 08 04:18:15 GMT 2025","passed","Sun Jun 08 04:18:15 GMT 2025","Delete entity","Exercises","",""
"","21","Create file with empty directory","LMS service","Sun Jun 08 04:18:19 GMT 2025","passed","Sun Jun 08 04:18:19 GMT 2025","Validate entity","Files","",""
"","264","Create file with empty filename","LMS service","Sun Jun 08 04:18:19 GMT 2025","passed","Sun Jun 08 04:18:19 GMT 2025","Validate entity","Files","",""
"","538","Create user","LMS service","Sun Jun 08 04:18:21 GMT 2025","passed","Sun Jun 08 04:18:21 GMT 2025","Create entity","Users","",""
"","265","Create file with empty filename and directory","LMS service","Sun Jun 08 04:18:20 GMT 2025","passed","Sun Jun 08 04:18:20 GMT 2025","Validate entity","Files","",""
"","14","Get user me","LMS service","Sun Jun 08 04:18:22 GMT 2025","passed","Sun Jun 08 04:18:22 GMT 2025","Get entity","Users","",""
"","24","Update exercise","LMS service","Sun Jun 08 04:18:17 GMT 2025","passed","Sun Jun 08 04:18:17 GMT 2025","Update entity","Exercises","",""
"","546","Login","LMS service","Sun Jun 08 04:18:12 GMT 2025","passed","Sun Jun 08 04:18:12 GMT 2025","Login","Authentication","",""
"","34","Create course","LMS service","Sun Jun 08 04:18:14 GMT 2025","passed","Sun Jun 08 04:18:14 GMT 2025","Create entity","Courses","",""
"","22","Get exercise","LMS service","Sun Jun 08 04:18:16 GMT 2025","passed","Sun Jun 08 04:18:16 GMT 2025","Get entity","Exercises","",""
"","21","Get exercises","LMS service","Sun Jun 08 04:18:17 GMT 2025","passed","Sun Jun 08 04:18:17 GMT 2025","Get entities","Exercises","",""
"","28","Get courses","LMS service","Sun Jun 08 04:18:14 GMT 2025","passed","Sun Jun 08 04:18:14 GMT 2025","Get entities","Courses","",""
"","302","Delete file","LMS service","Sun Jun 08 04:18:20 GMT 2025","passed","Sun Jun 08 04:18:21 GMT 2025","Delete entity","Files","",""
"","274","Create exercise","LMS service","Sun Jun 08 04:18:15 GMT 2025","passed","Sun Jun 08 04:18:15 GMT 2025","Create entity","Exercises","",""
"","25","Get file","LMS service","Sun Jun 08 04:18:18 GMT 2025","passed","Sun Jun 08 04:18:18 GMT 2025","Get entity","Files","",""
"","314","Create file","LMS service","Sun Jun 08 04:18:18 GMT 2025","passed","Sun Jun 08 04:18:18 GMT 2025","Create entity","Files","",""
"","557","Create user","LMS service","Sun Jun 08 04:18:21 GMT 2025","passed","Sun Jun 08 04:18:22 GMT 2025","Create entity","Users","",""
