"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Update exercise","LMS service","Fri Sep 12 03:20:04 GMT 2025","passed","Fri Sep 12 03:20:04 GMT 2025","Update entity","Exercises","",""
"","260","Create file with incorrect file id","LMS service","Fri Sep 12 03:20:07 GMT 2025","passed","Fri Sep 12 03:20:07 GMT 2025","Validate entity","Files","",""
"","555","Create user","LMS service","Fri Sep 12 03:20:08 GMT 2025","passed","Fri Sep 12 03:20:08 GMT 2025","Create entity","Users","",""
"","32","Get courses","LMS service","Fri Sep 12 03:20:00 GMT 2025","passed","Fri Sep 12 03:20:00 GMT 2025","Get entities","Courses","",""
"","41","Update course","LMS service","Fri Sep 12 03:19:59 GMT 2025","passed","Fri Sep 12 03:19:59 GMT 2025","Update entity","Courses","",""
"","21","Delete file","LMS service","Fri Sep 12 03:20:07 GMT 2025","passed","Fri Sep 12 03:20:07 GMT 2025","Delete entity","Files","",""
"","20","Get exercises","LMS service","Fri Sep 12 03:20:03 GMT 2025","passed","Fri Sep 12 03:20:03 GMT 2025","Get entities","Exercises","",""
"","291","Delete exercise","LMS service","Fri Sep 12 03:20:01 GMT 2025","passed","Fri Sep 12 03:20:02 GMT 2025","Delete entity","Exercises","",""
"","15","Get file","LMS service","Fri Sep 12 03:20:05 GMT 2025","passed","Fri Sep 12 03:20:05 GMT 2025","Get entity","Files","",""
"","13","Get user me","LMS service","Fri Sep 12 03:20:09 GMT 2025","passed","Fri Sep 12 03:20:09 GMT 2025","Get entity","Users","",""
"","550","Login","LMS service","Fri Sep 12 03:19:58 GMT 2025","passed","Fri Sep 12 03:19:59 GMT 2025","Login","Authentication","",""
"","272","Create exercise","LMS service","Fri Sep 12 03:20:01 GMT 2025","passed","Fri Sep 12 03:20:01 GMT 2025","Create entity","Exercises","",""
"","291","Create user","LMS service","Fri Sep 12 03:20:08 GMT 2025","passed","Fri Sep 12 03:20:08 GMT 2025","Create entity","Users","",""
"","291","Get exercise","LMS service","Fri Sep 12 03:20:02 GMT 2025","passed","Fri Sep 12 03:20:02 GMT 2025","Get entity","Exercises","",""
"","269","Create file with empty filename and directory","LMS service","Fri Sep 12 03:20:06 GMT 2025","passed","Fri Sep 12 03:20:06 GMT 2025","Validate entity","Files","",""
"","534","Create user","LMS service","Fri Sep 12 03:20:07 GMT 2025","passed","Fri Sep 12 03:20:07 GMT 2025","Create entity","Users","",""
"","33","Create course","LMS service","Fri Sep 12 03:20:00 GMT 2025","passed","Fri Sep 12 03:20:00 GMT 2025","Create entity","Courses","",""
"","265","Create file with empty directory","LMS service","Fri Sep 12 03:20:05 GMT 2025","passed","Fri Sep 12 03:20:06 GMT 2025","Validate entity","Files","",""
"","321","Create file","LMS service","Fri Sep 12 03:20:04 GMT 2025","passed","Fri Sep 12 03:20:04 GMT 2025","Create entity","Files","",""
"","267","Create file with empty filename","LMS service","Fri Sep 12 03:20:05 GMT 2025","passed","Fri Sep 12 03:20:05 GMT 2025","Validate entity","Files","",""
