"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","327","Create file","LMS service","Tue Sep 16 03:52:17 GMT 2025","passed","Tue Sep 16 03:52:17 GMT 2025","Create entity","Files","",""
"","25","Delete file","LMS service","Tue Sep 16 03:52:20 GMT 2025","passed","Tue Sep 16 03:52:20 GMT 2025","Delete entity","Files","",""
"","14","Get file","LMS service","Tue Sep 16 03:52:18 GMT 2025","passed","Tue Sep 16 03:52:18 GMT 2025","Get entity","Files","",""
"","15","Get user me","LMS service","Tue Sep 16 03:52:22 GMT 2025","passed","Tue Sep 16 03:52:22 GMT 2025","Get entity","Users","",""
"","33","Create course","LMS service","Tue Sep 16 03:52:13 GMT 2025","passed","Tue Sep 16 03:52:13 GMT 2025","Create entity","Courses","",""
"","273","Create exercise","LMS service","Tue Sep 16 03:52:14 GMT 2025","passed","Tue Sep 16 03:52:14 GMT 2025","Create entity","Exercises","",""
"","290","Create user","LMS service","Tue Sep 16 03:52:21 GMT 2025","passed","Tue Sep 16 03:52:21 GMT 2025","Create entity","Users","",""
"","286","Get exercise","LMS service","Tue Sep 16 03:52:15 GMT 2025","passed","Tue Sep 16 03:52:16 GMT 2025","Get entity","Exercises","",""
"","260","Create file with incorrect file id","LMS service","Tue Sep 16 03:52:21 GMT 2025","passed","Tue Sep 16 03:52:21 GMT 2025","Validate entity","Files","",""
"","266","Create file with empty filename","LMS service","Tue Sep 16 03:52:18 GMT 2025","passed","Tue Sep 16 03:52:18 GMT 2025","Validate entity","Files","",""
"","535","Create user","LMS service","Tue Sep 16 03:52:20 GMT 2025","passed","Tue Sep 16 03:52:21 GMT 2025","Create entity","Users","",""
"","19","Get exercises","LMS service","Tue Sep 16 03:52:16 GMT 2025","passed","Tue Sep 16 03:52:16 GMT 2025","Get entities","Exercises","",""
"","37","Update course","LMS service","Tue Sep 16 03:52:12 GMT 2025","passed","Tue Sep 16 03:52:12 GMT 2025","Update entity","Courses","",""
"","264","Create file with empty directory","LMS service","Tue Sep 16 03:52:19 GMT 2025","passed","Tue Sep 16 03:52:19 GMT 2025","Validate entity","Files","",""
"","545","Login","LMS service","Tue Sep 16 03:52:12 GMT 2025","passed","Tue Sep 16 03:52:12 GMT 2025","Login","Authentication","",""
"","555","Create user","LMS service","Tue Sep 16 03:52:21 GMT 2025","passed","Tue Sep 16 03:52:21 GMT 2025","Create entity","Users","",""
"","290","Update exercise","LMS service","Tue Sep 16 03:52:17 GMT 2025","passed","Tue Sep 16 03:52:17 GMT 2025","Update entity","Exercises","",""
"","264","Create file with empty filename and directory","LMS service","Tue Sep 16 03:52:19 GMT 2025","passed","Tue Sep 16 03:52:20 GMT 2025","Validate entity","Files","",""
"","19","Delete exercise","LMS service","Tue Sep 16 03:52:15 GMT 2025","passed","Tue Sep 16 03:52:15 GMT 2025","Delete entity","Exercises","",""
"","32","Get courses","LMS service","Tue Sep 16 03:52:13 GMT 2025","passed","Tue Sep 16 03:52:13 GMT 2025","Get entities","Courses","",""
