"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Get exercises","LMS service","Fri Sep 05 03:23:57 GMT 2025","passed","Fri Sep 05 03:23:57 GMT 2025","Get entities","Exercises","",""
"","21","Delete file","LMS service","Fri Sep 05 03:24:01 GMT 2025","passed","Fri Sep 05 03:24:01 GMT 2025","Delete entity","Files","",""
"","552","Create user","LMS service","Fri Sep 05 03:24:01 GMT 2025","passed","Fri Sep 05 03:24:02 GMT 2025","Create entity","Users","",""
"","61","Create file","LMS service","Fri Sep 05 03:23:58 GMT 2025","passed","Fri Sep 05 03:23:58 GMT 2025","Create entity","Files","",""
"","257","Create file with empty directory","LMS service","Fri Sep 05 03:24:00 GMT 2025","passed","Fri Sep 05 03:24:00 GMT 2025","Validate entity","Files","",""
"","16","Create file with incorrect file id","LMS service","Fri Sep 05 03:24:01 GMT 2025","passed","Fri Sep 05 03:24:01 GMT 2025","Validate entity","Files","",""
"","19","Create file with empty filename","LMS service","Fri Sep 05 03:23:59 GMT 2025","passed","Fri Sep 05 03:23:59 GMT 2025","Validate entity","Files","",""
"","268","Create exercise","LMS service","Fri Sep 05 03:23:55 GMT 2025","passed","Fri Sep 05 03:23:55 GMT 2025","Create entity","Exercises","",""
"","19","Create file with empty filename and directory","LMS service","Fri Sep 05 03:24:00 GMT 2025","passed","Fri Sep 05 03:24:00 GMT 2025","Validate entity","Files","",""
"","21","Delete exercise","LMS service","Fri Sep 05 03:23:55 GMT 2025","passed","Fri Sep 05 03:23:55 GMT 2025","Delete entity","Exercises","",""
"","36","Get courses","LMS service","Fri Sep 05 03:23:54 GMT 2025","passed","Fri Sep 05 03:23:54 GMT 2025","Get entities","Courses","",""
"","41","Update course","LMS service","Fri Sep 05 03:23:53 GMT 2025","passed","Fri Sep 05 03:23:53 GMT 2025","Update entity","Courses","",""
"","546","Login","LMS service","Fri Sep 05 03:23:52 GMT 2025","passed","Fri Sep 05 03:23:53 GMT 2025","Login","Authentication","",""
"","35","Create course","LMS service","Fri Sep 05 03:23:54 GMT 2025","passed","Fri Sep 05 03:23:54 GMT 2025","Create entity","Courses","",""
"","291","Create user","LMS service","Fri Sep 05 03:24:01 GMT 2025","passed","Fri Sep 05 03:24:02 GMT 2025","Create entity","Users","",""
"","15","Get user me","LMS service","Fri Sep 05 03:24:03 GMT 2025","passed","Fri Sep 05 03:24:03 GMT 2025","Get entity","Users","",""
"","28","Update exercise","LMS service","Fri Sep 05 03:23:58 GMT 2025","passed","Fri Sep 05 03:23:58 GMT 2025","Update entity","Exercises","",""
"","289","Get exercise","LMS service","Fri Sep 05 03:23:56 GMT 2025","passed","Fri Sep 05 03:23:56 GMT 2025","Get entity","Exercises","",""
"","14","Get file","LMS service","Fri Sep 05 03:23:59 GMT 2025","passed","Fri Sep 05 03:23:59 GMT 2025","Get entity","Files","",""
"","536","Create user","LMS service","Fri Sep 05 03:24:02 GMT 2025","passed","Fri Sep 05 03:24:02 GMT 2025","Create entity","Users","",""
