"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","264","Create exercise","LMS service","Fri Sep 26 03:52:52 GMT 2025","passed","Fri Sep 26 03:52:52 GMT 2025","Create entity","Exercises","",""
"","18","Delete exercise","LMS service","Fri Sep 26 03:52:52 GMT 2025","passed","Fri Sep 26 03:52:52 GMT 2025","Delete entity","Exercises","",""
"","529","Create user","LMS service","Fri Sep 26 03:52:58 GMT 2025","passed","Fri Sep 26 03:52:58 GMT 2025","Create entity","Users","",""
"","14","Get user me","LMS service","Fri Sep 26 03:52:59 GMT 2025","passed","Fri Sep 26 03:52:59 GMT 2025","Get entity","Users","",""
"","295","Update exercise","LMS service","Fri Sep 26 03:52:54 GMT 2025","passed","Fri Sep 26 03:52:54 GMT 2025","Update entity","Exercises","",""
"","285","Get exercise","LMS service","Fri Sep 26 03:52:53 GMT 2025","passed","Fri Sep 26 03:52:53 GMT 2025","Get entity","Exercises","",""
"","30","Get courses","LMS service","Fri Sep 26 03:52:51 GMT 2025","passed","Fri Sep 26 03:52:51 GMT 2025","Get entities","Courses","",""
"","13","Get file","LMS service","Fri Sep 26 03:52:55 GMT 2025","passed","Fri Sep 26 03:52:55 GMT 2025","Get entity","Files","",""
"","263","Create file with incorrect file id","LMS service","Fri Sep 26 03:52:58 GMT 2025","passed","Fri Sep 26 03:52:58 GMT 2025","Validate entity","Files","",""
"","19","Delete file","LMS service","Fri Sep 26 03:52:58 GMT 2025","passed","Fri Sep 26 03:52:58 GMT 2025","Delete entity","Files","",""
"","285","Create user","LMS service","Fri Sep 26 03:52:58 GMT 2025","passed","Fri Sep 26 03:52:59 GMT 2025","Create entity","Users","",""
"","268","Create file with empty filename and directory","LMS service","Fri Sep 26 03:52:57 GMT 2025","passed","Fri Sep 26 03:52:57 GMT 2025","Validate entity","Files","",""
"","35","Update course","LMS service","Fri Sep 26 03:52:50 GMT 2025","passed","Fri Sep 26 03:52:50 GMT 2025","Update entity","Courses","",""
"","544","Login","LMS service","Fri Sep 26 03:52:49 GMT 2025","passed","Fri Sep 26 03:52:50 GMT 2025","Login","Authentication","",""
"","259","Create file with empty filename","LMS service","Fri Sep 26 03:52:56 GMT 2025","passed","Fri Sep 26 03:52:56 GMT 2025","Validate entity","Files","",""
"","552","Create user","LMS service","Fri Sep 26 03:52:58 GMT 2025","passed","Fri Sep 26 03:52:59 GMT 2025","Create entity","Users","",""
"","258","Create file with empty directory","LMS service","Fri Sep 26 03:52:56 GMT 2025","passed","Fri Sep 26 03:52:56 GMT 2025","Validate entity","Files","",""
"","19","Get exercises","LMS service","Fri Sep 26 03:52:54 GMT 2025","passed","Fri Sep 26 03:52:54 GMT 2025","Get entities","Exercises","",""
"","34","Create course","LMS service","Fri Sep 26 03:52:51 GMT 2025","passed","Fri Sep 26 03:52:51 GMT 2025","Create entity","Courses","",""
"","317","Create file","LMS service","Fri Sep 26 03:52:54 GMT 2025","passed","Fri Sep 26 03:52:55 GMT 2025","Create entity","Files","",""
