"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","260","Create file with incorrect file id","LMS service","Wed Aug 06 04:00:12 GMT 2025","passed","Wed Aug 06 04:00:12 GMT 2025","Validate entity","Files","",""
"","288","Get exercise","LMS service","Wed Aug 06 04:00:07 GMT 2025","passed","Wed Aug 06 04:00:07 GMT 2025","Get entity","Exercises","",""
"","20","Delete file","LMS service","Wed Aug 06 04:00:12 GMT 2025","passed","Wed Aug 06 04:00:12 GMT 2025","Delete entity","Files","",""
"","37","Update course","LMS service","Wed Aug 06 04:00:04 GMT 2025","passed","Wed Aug 06 04:00:04 GMT 2025","Update entity","Courses","",""
"","311","Create file","LMS service","Wed Aug 06 04:00:08 GMT 2025","passed","Wed Aug 06 04:00:09 GMT 2025","Create entity","Files","",""
"","274","Create exercise","LMS service","Wed Aug 06 04:00:06 GMT 2025","passed","Wed Aug 06 04:00:06 GMT 2025","Create entity","Exercises","",""
"","16","Get file","LMS service","Wed Aug 06 04:00:09 GMT 2025","passed","Wed Aug 06 04:00:09 GMT 2025","Get entity","Files","",""
"","13","Get user me","LMS service","Wed Aug 06 04:00:13 GMT 2025","passed","Wed Aug 06 04:00:13 GMT 2025","Get entity","Users","",""
"","265","Create file with empty filename","LMS service","Wed Aug 06 04:00:10 GMT 2025","passed","Wed Aug 06 04:00:10 GMT 2025","Validate entity","Files","",""
"","261","Create file with empty directory","LMS service","Wed Aug 06 04:00:10 GMT 2025","passed","Wed Aug 06 04:00:11 GMT 2025","Validate entity","Files","",""
"","295","Update exercise","LMS service","Wed Aug 06 04:00:08 GMT 2025","passed","Wed Aug 06 04:00:08 GMT 2025","Update entity","Exercises","",""
"","533","Create user","LMS service","Wed Aug 06 04:00:12 GMT 2025","passed","Wed Aug 06 04:00:12 GMT 2025","Create entity","Users","",""
"","555","Create user","LMS service","Wed Aug 06 04:00:12 GMT 2025","passed","Wed Aug 06 04:00:13 GMT 2025","Create entity","Users","",""
"","286","Delete exercise","LMS service","Wed Aug 06 04:00:06 GMT 2025","passed","Wed Aug 06 04:00:06 GMT 2025","Delete entity","Exercises","",""
"","31","Create course","LMS service","Wed Aug 06 04:00:05 GMT 2025","passed","Wed Aug 06 04:00:05 GMT 2025","Create entity","Courses","",""
"","31","Get courses","LMS service","Wed Aug 06 04:00:05 GMT 2025","passed","Wed Aug 06 04:00:05 GMT 2025","Get entities","Courses","",""
"","24","Get exercises","LMS service","Wed Aug 06 04:00:08 GMT 2025","passed","Wed Aug 06 04:00:08 GMT 2025","Get entities","Exercises","",""
"","262","Create file with empty filename and directory","LMS service","Wed Aug 06 04:00:11 GMT 2025","passed","Wed Aug 06 04:00:11 GMT 2025","Validate entity","Files","",""
"","290","Create user","LMS service","Wed Aug 06 04:00:12 GMT 2025","passed","Wed Aug 06 04:00:13 GMT 2025","Create entity","Users","",""
"","546","Login","LMS service","Wed Aug 06 04:00:03 GMT 2025","passed","Wed Aug 06 04:00:04 GMT 2025","Login","Authentication","",""
