"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Delete exercise","LMS service","Mon May 26 15:53:36 GMT 2025","passed","Mon May 26 15:53:36 GMT 2025","Delete entity","Exercises","",""
"","44","Get courses","LMS service","Mon May 26 15:53:34 GMT 2025","passed","Mon May 26 15:53:34 GMT 2025","Get entities","Courses","",""
"","270","Create file with empty filename and directory","LMS service","Mon May 26 15:53:39 GMT 2025","passed","Mon May 26 15:53:39 GMT 2025","Validate entity","Files","",""
"","29","Get exercise","LMS service","Mon May 26 15:53:34 GMT 2025","passed","Mon May 26 15:53:34 GMT 2025","Get entity","Exercises","",""
"","28","Update exercise","LMS service","Mon May 26 15:53:36 GMT 2025","passed","Mon May 26 15:53:36 GMT 2025","Update entity","Exercises","",""
"","550","Create exercise","LMS service","Mon May 26 15:53:32 GMT 2025","passed","Mon May 26 15:53:32 GMT 2025","Create entity","Exercises","",""
"","15","Create file with incorrect file id","LMS service","Mon May 26 15:53:41 GMT 2025","passed","Mon May 26 15:53:41 GMT 2025","Validate entity","Files","",""
"","25","Delete file","LMS service","Mon May 26 15:53:39 GMT 2025","passed","Mon May 26 15:53:39 GMT 2025","Delete entity","Files","",""
"","25","Get exercises","LMS service","Mon May 26 15:53:36 GMT 2025","passed","Mon May 26 15:53:36 GMT 2025","Get entities","Exercises","",""
"","269","Create file with empty filename","LMS service","Mon May 26 15:53:37 GMT 2025","passed","Mon May 26 15:53:38 GMT 2025","Validate entity","Files","",""
"","555","Login","LMS service","Mon May 26 15:53:32 GMT 2025","passed","Mon May 26 15:53:32 GMT 2025","Login","Authentication","",""
"","18","Get file","LMS service","Mon May 26 15:53:38 GMT 2025","passed","Mon May 26 15:53:38 GMT 2025","Get entity","Files","",""
"","16","Create file with empty directory","LMS service","Mon May 26 15:53:39 GMT 2025","passed","Mon May 26 15:53:39 GMT 2025","Validate entity","Files","",""
"","12","Get user me","LMS service","Mon May 26 15:53:41 GMT 2025","passed","Mon May 26 15:53:41 GMT 2025","Get entity","Users","",""
"","292","Create user","LMS service","Mon May 26 15:53:39 GMT 2025","passed","Mon May 26 15:53:40 GMT 2025","Create entity","Users","",""
"","796","Create user","LMS service","Mon May 26 15:53:40 GMT 2025","passed","Mon May 26 15:53:40 GMT 2025","Create entity","Users","",""
"","579","Create file","LMS service","Mon May 26 15:53:37 GMT 2025","passed","Mon May 26 15:53:38 GMT 2025","Create entity","Files","",""
"","807","Create user","LMS service","Mon May 26 15:53:39 GMT 2025","passed","Mon May 26 15:53:40 GMT 2025","Create entity","Users","",""
"","35","Update course","LMS service","Mon May 26 15:53:32 GMT 2025","passed","Mon May 26 15:53:32 GMT 2025","Update entity","Courses","",""
"","41","Create course","LMS service","Mon May 26 15:53:34 GMT 2025","passed","Mon May 26 15:53:34 GMT 2025","Create entity","Courses","",""
