"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","296","Delete file","LMS service","Fri Jun 06 04:03:56 GMT 2025","passed","Fri Jun 06 04:03:57 GMT 2025","Delete entity","Files","",""
"","290","Create user","LMS service","Fri Jun 06 04:03:57 GMT 2025","passed","Fri Jun 06 04:03:58 GMT 2025","Create entity","Users","",""
"","550","Login","LMS service","Fri Jun 06 04:03:48 GMT 2025","passed","Fri Jun 06 04:03:49 GMT 2025","Login","Authentication","",""
"","306","Update course","LMS service","Fri Jun 06 04:03:49 GMT 2025","passed","Fri Jun 06 04:03:49 GMT 2025","Update entity","Courses","",""
"","260","Create file with empty filename","LMS service","Fri Jun 06 04:03:55 GMT 2025","passed","Fri Jun 06 04:03:55 GMT 2025","Validate entity","Files","",""
"","16","Get file","LMS service","Fri Jun 06 04:03:54 GMT 2025","passed","Fri Jun 06 04:03:54 GMT 2025","Get entity","Files","",""
"","30","Get courses","LMS service","Fri Jun 06 04:03:50 GMT 2025","passed","Fri Jun 06 04:03:50 GMT 2025","Get entities","Courses","",""
"","268","Create file with incorrect file id","LMS service","Fri Jun 06 04:03:57 GMT 2025","passed","Fri Jun 06 04:03:57 GMT 2025","Validate entity","Files","",""
"","570","Create file","LMS service","Fri Jun 06 04:03:54 GMT 2025","passed","Fri Jun 06 04:03:54 GMT 2025","Create entity","Files","",""
"","18","Create file with empty directory","LMS service","Fri Jun 06 04:03:55 GMT 2025","passed","Fri Jun 06 04:03:55 GMT 2025","Validate entity","Files","",""
"","289","Get exercises","LMS service","Fri Jun 06 04:03:53 GMT 2025","passed","Fri Jun 06 04:03:53 GMT 2025","Get entities","Exercises","",""
"","551","Create user","LMS service","Fri Jun 06 04:03:57 GMT 2025","passed","Fri Jun 06 04:03:57 GMT 2025","Create entity","Users","",""
"","261","Create file with empty filename and directory","LMS service","Fri Jun 06 04:03:56 GMT 2025","passed","Fri Jun 06 04:03:56 GMT 2025","Validate entity","Files","",""
"","274","Create exercise","LMS service","Fri Jun 06 04:03:51 GMT 2025","passed","Fri Jun 06 04:03:51 GMT 2025","Create entity","Exercises","",""
"","558","Create user","LMS service","Fri Jun 06 04:03:57 GMT 2025","passed","Fri Jun 06 04:03:58 GMT 2025","Create entity","Users","",""
"","25","Update exercise","LMS service","Fri Jun 06 04:03:53 GMT 2025","passed","Fri Jun 06 04:03:53 GMT 2025","Update entity","Exercises","",""
"","19","Get exercise","LMS service","Fri Jun 06 04:03:52 GMT 2025","passed","Fri Jun 06 04:03:52 GMT 2025","Get entity","Exercises","",""
"","30","Create course","LMS service","Fri Jun 06 04:03:50 GMT 2025","passed","Fri Jun 06 04:03:50 GMT 2025","Create entity","Courses","",""
"","292","Delete exercise","LMS service","Fri Jun 06 04:03:51 GMT 2025","passed","Fri Jun 06 04:03:52 GMT 2025","Delete entity","Exercises","",""
"","13","Get user me","LMS service","Fri Jun 06 04:03:59 GMT 2025","passed","Fri Jun 06 04:03:59 GMT 2025","Get entity","Users","",""
