"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Delete file","LMS service","Sun Sep 21 03:56:14 GMT 2025","passed","Sun Sep 21 03:56:15 GMT 2025","Delete entity","Files","",""
"","289","Get exercise","LMS service","Sun Sep 21 03:56:10 GMT 2025","passed","Sun Sep 21 03:56:10 GMT 2025","Get entity","Exercises","",""
"","267","Create file with empty filename and directory","LMS service","Sun Sep 21 03:56:14 GMT 2025","passed","Sun Sep 21 03:56:14 GMT 2025","Validate entity","Files","",""
"","40","Update course","LMS service","Sun Sep 21 03:56:06 GMT 2025","passed","Sun Sep 21 03:56:06 GMT 2025","Update entity","Courses","",""
"","20","Delete exercise","LMS service","Sun Sep 21 03:56:09 GMT 2025","passed","Sun Sep 21 03:56:09 GMT 2025","Delete entity","Exercises","",""
"","266","Create file with empty filename","LMS service","Sun Sep 21 03:56:12 GMT 2025","passed","Sun Sep 21 03:56:13 GMT 2025","Validate entity","Files","",""
"","34","Get courses","LMS service","Sun Sep 21 03:56:08 GMT 2025","passed","Sun Sep 21 03:56:08 GMT 2025","Get entities","Courses","",""
"","13","Get user me","LMS service","Sun Sep 21 03:56:16 GMT 2025","passed","Sun Sep 21 03:56:16 GMT 2025","Get entity","Users","",""
"","288","Update exercise","LMS service","Sun Sep 21 03:56:11 GMT 2025","passed","Sun Sep 21 03:56:11 GMT 2025","Update entity","Exercises","",""
"","547","Login","LMS service","Sun Sep 21 03:56:06 GMT 2025","passed","Sun Sep 21 03:56:06 GMT 2025","Login","Authentication","",""
"","318","Create file","LMS service","Sun Sep 21 03:56:11 GMT 2025","passed","Sun Sep 21 03:56:12 GMT 2025","Create entity","Files","",""
"","536","Create user","LMS service","Sun Sep 21 03:56:15 GMT 2025","passed","Sun Sep 21 03:56:15 GMT 2025","Create entity","Users","",""
"","264","Create file with incorrect file id","LMS service","Sun Sep 21 03:56:15 GMT 2025","passed","Sun Sep 21 03:56:15 GMT 2025","Validate entity","Files","",""
"","30","Create course","LMS service","Sun Sep 21 03:56:08 GMT 2025","passed","Sun Sep 21 03:56:08 GMT 2025","Create entity","Courses","",""
"","14","Get file","LMS service","Sun Sep 21 03:56:12 GMT 2025","passed","Sun Sep 21 03:56:12 GMT 2025","Get entity","Files","",""
"","275","Create exercise","LMS service","Sun Sep 21 03:56:09 GMT 2025","passed","Sun Sep 21 03:56:09 GMT 2025","Create entity","Exercises","",""
"","553","Create user","LMS service","Sun Sep 21 03:56:15 GMT 2025","passed","Sun Sep 21 03:56:16 GMT 2025","Create entity","Users","",""
"","261","Create file with empty directory","LMS service","Sun Sep 21 03:56:13 GMT 2025","passed","Sun Sep 21 03:56:13 GMT 2025","Validate entity","Files","",""
"","20","Get exercises","LMS service","Sun Sep 21 03:56:10 GMT 2025","passed","Sun Sep 21 03:56:10 GMT 2025","Get entities","Exercises","",""
"","288","Create user","LMS service","Sun Sep 21 03:56:15 GMT 2025","passed","Sun Sep 21 03:56:15 GMT 2025","Create entity","Users","",""
