"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","554","Create user","LMS service","Sun Sep 28 03:55:50 GMT 2025","passed","Sun Sep 28 03:55:50 GMT 2025","Create entity","Users","",""
"","22","Get exercises","LMS service","Sun Sep 28 03:55:46 GMT 2025","passed","Sun Sep 28 03:55:46 GMT 2025","Get entities","Exercises","",""
"","288","Create user","LMS service","Sun Sep 28 03:55:51 GMT 2025","passed","Sun Sep 28 03:55:51 GMT 2025","Create entity","Users","",""
"","22","Get exercise","LMS service","Sun Sep 28 03:55:45 GMT 2025","passed","Sun Sep 28 03:55:45 GMT 2025","Get entity","Exercises","",""
"","16","Get user me","LMS service","Sun Sep 28 03:55:52 GMT 2025","passed","Sun Sep 28 03:55:52 GMT 2025","Get entity","Users","",""
"","264","Create file with empty filename","LMS service","Sun Sep 28 03:55:48 GMT 2025","passed","Sun Sep 28 03:55:48 GMT 2025","Validate entity","Files","",""
"","280","Create exercise","LMS service","Sun Sep 28 03:55:44 GMT 2025","passed","Sun Sep 28 03:55:44 GMT 2025","Create entity","Exercises","",""
"","17","Get file","LMS service","Sun Sep 28 03:55:47 GMT 2025","passed","Sun Sep 28 03:55:47 GMT 2025","Get entity","Files","",""
"","31","Get courses","LMS service","Sun Sep 28 03:55:43 GMT 2025","passed","Sun Sep 28 03:55:43 GMT 2025","Get entities","Courses","",""
"","36","Create course","LMS service","Sun Sep 28 03:55:43 GMT 2025","passed","Sun Sep 28 03:55:43 GMT 2025","Create entity","Courses","",""
"","556","Create user","LMS service","Sun Sep 28 03:55:51 GMT 2025","passed","Sun Sep 28 03:55:51 GMT 2025","Create entity","Users","",""
"","17","Create file with empty directory","LMS service","Sun Sep 28 03:55:48 GMT 2025","passed","Sun Sep 28 03:55:48 GMT 2025","Validate entity","Files","",""
"","264","Create file with incorrect file id","LMS service","Sun Sep 28 03:55:50 GMT 2025","passed","Sun Sep 28 03:55:50 GMT 2025","Validate entity","Files","",""
"","265","Create file with empty filename and directory","LMS service","Sun Sep 28 03:55:49 GMT 2025","passed","Sun Sep 28 03:55:50 GMT 2025","Validate entity","Files","",""
"","547","Login","LMS service","Sun Sep 28 03:55:41 GMT 2025","passed","Sun Sep 28 03:55:42 GMT 2025","Login","Authentication","",""
"","290","Delete exercise","LMS service","Sun Sep 28 03:55:44 GMT 2025","passed","Sun Sep 28 03:55:45 GMT 2025","Delete entity","Exercises","",""
"","293","Delete file","LMS service","Sun Sep 28 03:55:50 GMT 2025","passed","Sun Sep 28 03:55:50 GMT 2025","Delete entity","Files","",""
"","294","Update exercise","LMS service","Sun Sep 28 03:55:46 GMT 2025","passed","Sun Sep 28 03:55:46 GMT 2025","Update entity","Exercises","",""
"","565","Create file","LMS service","Sun Sep 28 03:55:47 GMT 2025","passed","Sun Sep 28 03:55:47 GMT 2025","Create entity","Files","",""
"","306","Update course","LMS service","Sun Sep 28 03:55:42 GMT 2025","passed","Sun Sep 28 03:55:42 GMT 2025","Update entity","Courses","",""
