"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","554","Create user","LMS service","Wed Sep 10 03:20:15 GMT 2025","passed","Wed Sep 10 03:20:15 GMT 2025","Create entity","Users","",""
"","294","Delete file","LMS service","Wed Sep 10 03:20:14 GMT 2025","passed","Wed Sep 10 03:20:15 GMT 2025","Delete entity","Files","",""
"","268","Create file with empty filename and directory","LMS service","Wed Sep 10 03:20:14 GMT 2025","passed","Wed Sep 10 03:20:14 GMT 2025","Validate entity","Files","",""
"","557","Create user","LMS service","Wed Sep 10 03:20:15 GMT 2025","passed","Wed Sep 10 03:20:16 GMT 2025","Create entity","Users","",""
"","44","Update course","LMS service","Wed Sep 10 03:20:07 GMT 2025","passed","Wed Sep 10 03:20:07 GMT 2025","Update entity","Courses","",""
"","267","Create file with empty filename","LMS service","Wed Sep 10 03:20:13 GMT 2025","passed","Wed Sep 10 03:20:13 GMT 2025","Validate entity","Files","",""
"","18","Delete exercise","LMS service","Wed Sep 10 03:20:09 GMT 2025","passed","Wed Sep 10 03:20:09 GMT 2025","Delete entity","Exercises","",""
"","20","Create file with empty directory","LMS service","Wed Sep 10 03:20:13 GMT 2025","passed","Wed Sep 10 03:20:13 GMT 2025","Validate entity","Files","",""
"","22","Get exercises","LMS service","Wed Sep 10 03:20:11 GMT 2025","passed","Wed Sep 10 03:20:11 GMT 2025","Get entities","Exercises","",""
"","290","Create user","LMS service","Wed Sep 10 03:20:15 GMT 2025","passed","Wed Sep 10 03:20:16 GMT 2025","Create entity","Users","",""
"","262","Create file with incorrect file id","LMS service","Wed Sep 10 03:20:15 GMT 2025","passed","Wed Sep 10 03:20:15 GMT 2025","Validate entity","Files","",""
"","24","Get exercise","LMS service","Wed Sep 10 03:20:10 GMT 2025","passed","Wed Sep 10 03:20:10 GMT 2025","Get entity","Exercises","",""
"","14","Get user me","LMS service","Wed Sep 10 03:20:16 GMT 2025","passed","Wed Sep 10 03:20:16 GMT 2025","Get entity","Users","",""
"","545","Login","LMS service","Wed Sep 10 03:20:06 GMT 2025","passed","Wed Sep 10 03:20:07 GMT 2025","Login","Authentication","",""
"","297","Create file","LMS service","Wed Sep 10 03:20:12 GMT 2025","passed","Wed Sep 10 03:20:12 GMT 2025","Create entity","Files","",""
"","34","Create course","LMS service","Wed Sep 10 03:20:08 GMT 2025","passed","Wed Sep 10 03:20:08 GMT 2025","Create entity","Courses","",""
"","33","Get courses","LMS service","Wed Sep 10 03:20:08 GMT 2025","passed","Wed Sep 10 03:20:08 GMT 2025","Get entities","Courses","",""
"","22","Update exercise","LMS service","Wed Sep 10 03:20:11 GMT 2025","passed","Wed Sep 10 03:20:11 GMT 2025","Update entity","Exercises","",""
"","15","Get file","LMS service","Wed Sep 10 03:20:12 GMT 2025","passed","Wed Sep 10 03:20:12 GMT 2025","Get entity","Files","",""
"","268","Create exercise","LMS service","Wed Sep 10 03:20:09 GMT 2025","passed","Wed Sep 10 03:20:09 GMT 2025","Create entity","Exercises","",""
