"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","287","Create user","LMS service","Sun Oct 12 03:27:55 GMT 2025","passed","Sun Oct 12 03:27:56 GMT 2025","Create entity","Users","",""
"","21","Get exercise","LMS service","Sun Oct 12 03:27:50 GMT 2025","passed","Sun Oct 12 03:27:50 GMT 2025","Get entity","Exercises","",""
"","269","Create file with empty filename","LMS service","Sun Oct 12 03:27:53 GMT 2025","passed","Sun Oct 12 03:27:53 GMT 2025","Validate entity","Files","",""
"","533","Login","LMS service","Sun Oct 12 03:27:46 GMT 2025","passed","Sun Oct 12 03:27:47 GMT 2025","Login","Authentication","",""
"","29","Get courses","LMS service","Sun Oct 12 03:27:48 GMT 2025","passed","Sun Oct 12 03:27:48 GMT 2025","Get entities","Courses","",""
"","569","Create file","LMS service","Sun Oct 12 03:27:51 GMT 2025","passed","Sun Oct 12 03:27:52 GMT 2025","Create entity","Files","",""
"","20","Get exercises","LMS service","Sun Oct 12 03:27:51 GMT 2025","passed","Sun Oct 12 03:27:51 GMT 2025","Get entities","Exercises","",""
"","271","Create exercise","LMS service","Sun Oct 12 03:27:49 GMT 2025","passed","Sun Oct 12 03:27:49 GMT 2025","Create entity","Exercises","",""
"","265","Create file with incorrect file id","LMS service","Sun Oct 12 03:27:55 GMT 2025","passed","Sun Oct 12 03:27:55 GMT 2025","Validate entity","Files","",""
"","20","Delete file","LMS service","Sun Oct 12 03:27:55 GMT 2025","passed","Sun Oct 12 03:27:55 GMT 2025","Delete entity","Files","",""
"","297","Update exercise","LMS service","Sun Oct 12 03:27:51 GMT 2025","passed","Sun Oct 12 03:27:51 GMT 2025","Update entity","Exercises","",""
"","35","Create course","LMS service","Sun Oct 12 03:27:48 GMT 2025","passed","Sun Oct 12 03:27:48 GMT 2025","Create entity","Courses","",""
"","288","Create file with empty directory","LMS service","Sun Oct 12 03:27:53 GMT 2025","passed","Sun Oct 12 03:27:54 GMT 2025","Validate entity","Files","",""
"","34","Update course","LMS service","Sun Oct 12 03:27:47 GMT 2025","passed","Sun Oct 12 03:27:47 GMT 2025","Update entity","Courses","",""
"","537","Create user","LMS service","Sun Oct 12 03:27:55 GMT 2025","passed","Sun Oct 12 03:27:55 GMT 2025","Create entity","Users","",""
"","288","Get file","LMS service","Sun Oct 12 03:27:52 GMT 2025","passed","Sun Oct 12 03:27:52 GMT 2025","Get entity","Files","",""
"","555","Create user","LMS service","Sun Oct 12 03:27:55 GMT 2025","passed","Sun Oct 12 03:27:56 GMT 2025","Create entity","Users","",""
"","15","Get user me","LMS service","Sun Oct 12 03:27:57 GMT 2025","passed","Sun Oct 12 03:27:57 GMT 2025","Get entity","Users","",""
"","19","Delete exercise","LMS service","Sun Oct 12 03:27:49 GMT 2025","passed","Sun Oct 12 03:27:49 GMT 2025","Delete entity","Exercises","",""
"","445","Create file with empty filename and directory","LMS service","Sun Oct 12 03:27:54 GMT 2025","passed","Sun Oct 12 03:27:54 GMT 2025","Validate entity","Files","",""
