"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","267","Create file with empty filename and directory","LMS service","Sat Oct 25 03:28:32 GMT 2025","passed","Sat Oct 25 03:28:32 GMT 2025","Validate entity","Files","",""
"","19","Get exercises","LMS service","Sat Oct 25 03:28:29 GMT 2025","passed","Sat Oct 25 03:28:29 GMT 2025","Get entities","Exercises","",""
"","18","Delete exercise","LMS service","Sat Oct 25 03:28:27 GMT 2025","passed","Sat Oct 25 03:28:27 GMT 2025","Delete entity","Exercises","",""
"","291","Get exercise","LMS service","Sat Oct 25 03:28:28 GMT 2025","passed","Sat Oct 25 03:28:28 GMT 2025","Get entity","Exercises","",""
"","548","Login","LMS service","Sat Oct 25 03:28:24 GMT 2025","passed","Sat Oct 25 03:28:25 GMT 2025","Login","Authentication","",""
"","17","Get user me","LMS service","Sat Oct 25 03:28:35 GMT 2025","passed","Sat Oct 25 03:28:35 GMT 2025","Get entity","Users","",""
"","555","Create user","LMS service","Sat Oct 25 03:28:33 GMT 2025","passed","Sat Oct 25 03:28:34 GMT 2025","Create entity","Users","",""
"","271","Create exercise","LMS service","Sat Oct 25 03:28:27 GMT 2025","passed","Sat Oct 25 03:28:27 GMT 2025","Create entity","Exercises","",""
"","532","Create user","LMS service","Sat Oct 25 03:28:33 GMT 2025","passed","Sat Oct 25 03:28:33 GMT 2025","Create entity","Users","",""
"","31","Create course","LMS service","Sat Oct 25 03:28:26 GMT 2025","passed","Sat Oct 25 03:28:26 GMT 2025","Create entity","Courses","",""
"","297","Update exercise","LMS service","Sat Oct 25 03:28:29 GMT 2025","passed","Sat Oct 25 03:28:30 GMT 2025","Update entity","Exercises","",""
"","34","Update course","LMS service","Sat Oct 25 03:28:25 GMT 2025","passed","Sat Oct 25 03:28:25 GMT 2025","Update entity","Courses","",""
"","262","Create file with incorrect file id","LMS service","Sat Oct 25 03:28:33 GMT 2025","passed","Sat Oct 25 03:28:33 GMT 2025","Validate entity","Files","",""
"","263","Create file with empty filename","LMS service","Sat Oct 25 03:28:31 GMT 2025","passed","Sat Oct 25 03:28:31 GMT 2025","Validate entity","Files","",""
"","265","Create file with empty directory","LMS service","Sat Oct 25 03:28:31 GMT 2025","passed","Sat Oct 25 03:28:32 GMT 2025","Validate entity","Files","",""
"","292","Create user","LMS service","Sat Oct 25 03:28:33 GMT 2025","passed","Sat Oct 25 03:28:34 GMT 2025","Create entity","Users","",""
"","309","Create file","LMS service","Sat Oct 25 03:28:30 GMT 2025","passed","Sat Oct 25 03:28:30 GMT 2025","Create entity","Files","",""
"","17","Get file","LMS service","Sat Oct 25 03:28:30 GMT 2025","passed","Sat Oct 25 03:28:30 GMT 2025","Get entity","Files","",""
"","24","Delete file","LMS service","Sat Oct 25 03:28:33 GMT 2025","passed","Sat Oct 25 03:28:33 GMT 2025","Delete entity","Files","",""
"","31","Get courses","LMS service","Sat Oct 25 03:28:26 GMT 2025","passed","Sat Oct 25 03:28:26 GMT 2025","Get entities","Courses","",""
