"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","Create course","LMS service","Tue Aug 12 04:05:53 GMT 2025","passed","Tue Aug 12 04:05:53 GMT 2025","Create entity","Courses","",""
"","287","Update exercise","LMS service","Tue Aug 12 04:05:56 GMT 2025","passed","Tue Aug 12 04:05:56 GMT 2025","Update entity","Exercises","",""
"","545","Login","LMS service","Tue Aug 12 04:05:51 GMT 2025","passed","Tue Aug 12 04:05:52 GMT 2025","Login","Authentication","",""
"","287","Create user","LMS service","Tue Aug 12 04:06:00 GMT 2025","passed","Tue Aug 12 04:06:00 GMT 2025","Create entity","Users","",""
"","261","Create file with empty filename","LMS service","Tue Aug 12 04:05:58 GMT 2025","passed","Tue Aug 12 04:05:58 GMT 2025","Validate entity","Files","",""
"","20","Delete exercise","LMS service","Tue Aug 12 04:05:54 GMT 2025","passed","Tue Aug 12 04:05:54 GMT 2025","Delete entity","Exercises","",""
"","530","Create user","LMS service","Tue Aug 12 04:06:00 GMT 2025","passed","Tue Aug 12 04:06:00 GMT 2025","Create entity","Users","",""
"","273","Create exercise","LMS service","Tue Aug 12 04:05:54 GMT 2025","passed","Tue Aug 12 04:05:54 GMT 2025","Create entity","Exercises","",""
"","263","Create file with incorrect file id","LMS service","Tue Aug 12 04:06:00 GMT 2025","passed","Tue Aug 12 04:06:00 GMT 2025","Validate entity","Files","",""
"","315","Create file","LMS service","Tue Aug 12 04:05:56 GMT 2025","passed","Tue Aug 12 04:05:57 GMT 2025","Create entity","Files","",""
"","30","Get courses","LMS service","Tue Aug 12 04:05:53 GMT 2025","passed","Tue Aug 12 04:05:53 GMT 2025","Get entities","Courses","",""
"","263","Create file with empty directory","LMS service","Tue Aug 12 04:05:58 GMT 2025","passed","Tue Aug 12 04:05:58 GMT 2025","Validate entity","Files","",""
"","24","Get exercises","LMS service","Tue Aug 12 04:05:55 GMT 2025","passed","Tue Aug 12 04:05:55 GMT 2025","Get entities","Exercises","",""
"","552","Create user","LMS service","Tue Aug 12 04:06:00 GMT 2025","passed","Tue Aug 12 04:06:01 GMT 2025","Create entity","Users","",""
"","266","Create file with empty filename and directory","LMS service","Tue Aug 12 04:05:59 GMT 2025","passed","Tue Aug 12 04:05:59 GMT 2025","Validate entity","Files","",""
"","13","Get file","LMS service","Tue Aug 12 04:05:57 GMT 2025","passed","Tue Aug 12 04:05:57 GMT 2025","Get entity","Files","",""
"","34","Update course","LMS service","Tue Aug 12 04:05:52 GMT 2025","passed","Tue Aug 12 04:05:52 GMT 2025","Update entity","Courses","",""
"","284","Get exercise","LMS service","Tue Aug 12 04:05:55 GMT 2025","passed","Tue Aug 12 04:05:55 GMT 2025","Get entity","Exercises","",""
"","22","Delete file","LMS service","Tue Aug 12 04:06:00 GMT 2025","passed","Tue Aug 12 04:06:00 GMT 2025","Delete entity","Files","",""
"","15","Get user me","LMS service","Tue Aug 12 04:06:01 GMT 2025","passed","Tue Aug 12 04:06:01 GMT 2025","Get entity","Users","",""
