"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33","Create course","LMS service","Fri Jun 27 04:15:58 GMT 2025","passed","Fri Jun 27 04:15:58 GMT 2025","Create entity","Courses","",""
"","265","Create file with empty filename","LMS service","Fri Jun 27 04:16:03 GMT 2025","passed","Fri Jun 27 04:16:03 GMT 2025","Validate entity","Files","",""
"","286","Create user","LMS service","Fri Jun 27 04:16:05 GMT 2025","passed","Fri Jun 27 04:16:06 GMT 2025","Create entity","Users","",""
"","263","Create file with empty directory","LMS service","Fri Jun 27 04:16:03 GMT 2025","passed","Fri Jun 27 04:16:04 GMT 2025","Validate entity","Files","",""
"","551","Create user","LMS service","Fri Jun 27 04:16:05 GMT 2025","passed","Fri Jun 27 04:16:06 GMT 2025","Create entity","Users","",""
"","13","Get file","LMS service","Fri Jun 27 04:16:02 GMT 2025","passed","Fri Jun 27 04:16:02 GMT 2025","Get entity","Files","",""
"","293","Update exercise","LMS service","Fri Jun 27 04:16:01 GMT 2025","passed","Fri Jun 27 04:16:01 GMT 2025","Update entity","Exercises","",""
"","269","Create file with empty filename and directory","LMS service","Fri Jun 27 04:16:04 GMT 2025","passed","Fri Jun 27 04:16:04 GMT 2025","Validate entity","Files","",""
"","17","Delete exercise","LMS service","Fri Jun 27 04:15:59 GMT 2025","passed","Fri Jun 27 04:15:59 GMT 2025","Delete entity","Exercises","",""
"","12","Get user me","LMS service","Fri Jun 27 04:16:06 GMT 2025","passed","Fri Jun 27 04:16:06 GMT 2025","Get entity","Users","",""
"","543","Login","LMS service","Fri Jun 27 04:15:56 GMT 2025","passed","Fri Jun 27 04:15:57 GMT 2025","Login","Authentication","",""
"","286","Get exercise","LMS service","Fri Jun 27 04:16:00 GMT 2025","passed","Fri Jun 27 04:16:00 GMT 2025","Get entity","Exercises","",""
"","21","Delete file","LMS service","Fri Jun 27 04:16:05 GMT 2025","passed","Fri Jun 27 04:16:05 GMT 2025","Delete entity","Files","",""
"","271","Create exercise","LMS service","Fri Jun 27 04:15:59 GMT 2025","passed","Fri Jun 27 04:15:59 GMT 2025","Create entity","Exercises","",""
"","19","Get exercises","LMS service","Fri Jun 27 04:16:01 GMT 2025","passed","Fri Jun 27 04:16:01 GMT 2025","Get entities","Exercises","",""
"","316","Create file","LMS service","Fri Jun 27 04:16:01 GMT 2025","passed","Fri Jun 27 04:16:02 GMT 2025","Create entity","Files","",""
"","30","Get courses","LMS service","Fri Jun 27 04:15:58 GMT 2025","passed","Fri Jun 27 04:15:58 GMT 2025","Get entities","Courses","",""
"","39","Update course","LMS service","Fri Jun 27 04:15:57 GMT 2025","passed","Fri Jun 27 04:15:57 GMT 2025","Update entity","Courses","",""
"","268","Create file with incorrect file id","LMS service","Fri Jun 27 04:16:05 GMT 2025","passed","Fri Jun 27 04:16:05 GMT 2025","Validate entity","Files","",""
"","533","Create user","LMS service","Fri Jun 27 04:16:05 GMT 2025","passed","Fri Jun 27 04:16:05 GMT 2025","Create entity","Users","",""
