"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get user me","LMS service","Tue Sep 02 03:32:45 GMT 2025","passed","Tue Sep 02 03:32:45 GMT 2025","Get entity","Users","",""
"","285","Delete exercise","LMS service","Tue Sep 02 03:32:37 GMT 2025","passed","Tue Sep 02 03:32:37 GMT 2025","Delete entity","Exercises","",""
"","33","Update course","LMS service","Tue Sep 02 03:32:35 GMT 2025","passed","Tue Sep 02 03:32:35 GMT 2025","Update entity","Courses","",""
"","537","Create user","LMS service","Tue Sep 02 03:32:43 GMT 2025","passed","Tue Sep 02 03:32:43 GMT 2025","Create entity","Users","",""
"","34","Create course","LMS service","Tue Sep 02 03:32:36 GMT 2025","passed","Tue Sep 02 03:32:36 GMT 2025","Create entity","Courses","",""
"","20","Get exercise","LMS service","Tue Sep 02 03:32:38 GMT 2025","passed","Tue Sep 02 03:32:38 GMT 2025","Get entity","Exercises","",""
"","275","Create exercise","LMS service","Tue Sep 02 03:32:37 GMT 2025","passed","Tue Sep 02 03:32:37 GMT 2025","Create entity","Exercises","",""
"","20","Get exercises","LMS service","Tue Sep 02 03:32:39 GMT 2025","passed","Tue Sep 02 03:32:39 GMT 2025","Get entities","Exercises","",""
"","265","Create file with incorrect file id","LMS service","Tue Sep 02 03:32:43 GMT 2025","passed","Tue Sep 02 03:32:43 GMT 2025","Validate entity","Files","",""
"","546","Login","LMS service","Tue Sep 02 03:32:34 GMT 2025","passed","Tue Sep 02 03:32:35 GMT 2025","Login","Authentication","",""
"","21","Delete file","LMS service","Tue Sep 02 03:32:43 GMT 2025","passed","Tue Sep 02 03:32:43 GMT 2025","Delete entity","Files","",""
"","30","Get courses","LMS service","Tue Sep 02 03:32:36 GMT 2025","passed","Tue Sep 02 03:32:36 GMT 2025","Get entities","Courses","",""
"","296","Update exercise","LMS service","Tue Sep 02 03:32:39 GMT 2025","passed","Tue Sep 02 03:32:39 GMT 2025","Update entity","Exercises","",""
"","261","Create file with empty filename","LMS service","Tue Sep 02 03:32:41 GMT 2025","passed","Tue Sep 02 03:32:41 GMT 2025","Validate entity","Files","",""
"","565","Create file","LMS service","Tue Sep 02 03:32:40 GMT 2025","passed","Tue Sep 02 03:32:40 GMT 2025","Create entity","Files","",""
"","287","Get file","LMS service","Tue Sep 02 03:32:40 GMT 2025","passed","Tue Sep 02 03:32:40 GMT 2025","Get entity","Files","",""
"","289","Create user","LMS service","Tue Sep 02 03:32:43 GMT 2025","passed","Tue Sep 02 03:32:44 GMT 2025","Create entity","Users","",""
"","556","Create user","LMS service","Tue Sep 02 03:32:43 GMT 2025","passed","Tue Sep 02 03:32:44 GMT 2025","Create entity","Users","",""
"","267","Create file with empty directory","LMS service","Tue Sep 02 03:32:41 GMT 2025","passed","Tue Sep 02 03:32:42 GMT 2025","Validate entity","Files","",""
"","259","Create file with empty filename and directory","LMS service","Tue Sep 02 03:32:42 GMT 2025","passed","Tue Sep 02 03:32:42 GMT 2025","Validate entity","Files","",""
