"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Get courses","LMS service","Fri May 30 04:00:17 GMT 2025","passed","Fri May 30 04:00:17 GMT 2025","Get entities","Courses","",""
"","559","Create user","LMS service","Fri May 30 04:00:25 GMT 2025","passed","Fri May 30 04:00:25 GMT 2025","Create entity","Users","",""
"","32","Create course","LMS service","Fri May 30 04:00:17 GMT 2025","passed","Fri May 30 04:00:17 GMT 2025","Create entity","Courses","",""
"","24","Delete file","LMS service","Fri May 30 04:00:24 GMT 2025","passed","Fri May 30 04:00:24 GMT 2025","Delete entity","Files","",""
"","267","Create file with empty filename and directory","LMS service","Fri May 30 04:00:23 GMT 2025","passed","Fri May 30 04:00:23 GMT 2025","Validate entity","Files","",""
"","290","Update exercise","LMS service","Fri May 30 04:00:20 GMT 2025","passed","Fri May 30 04:00:21 GMT 2025","Update entity","Exercises","",""
"","545","Login","LMS service","Fri May 30 04:00:15 GMT 2025","passed","Fri May 30 04:00:16 GMT 2025","Login","Authentication","",""
"","292","Create user","LMS service","Fri May 30 04:00:25 GMT 2025","passed","Fri May 30 04:00:25 GMT 2025","Create entity","Users","",""
"","292","Get exercise","LMS service","Fri May 30 04:00:19 GMT 2025","passed","Fri May 30 04:00:19 GMT 2025","Get entity","Exercises","",""
"","539","Create user","LMS service","Fri May 30 04:00:24 GMT 2025","passed","Fri May 30 04:00:25 GMT 2025","Create entity","Users","",""
"","320","Create file","LMS service","Fri May 30 04:00:21 GMT 2025","passed","Fri May 30 04:00:21 GMT 2025","Create entity","Files","",""
"","34","Update course","LMS service","Fri May 30 04:00:16 GMT 2025","passed","Fri May 30 04:00:16 GMT 2025","Update entity","Courses","",""
"","15","Get file","LMS service","Fri May 30 04:00:22 GMT 2025","passed","Fri May 30 04:00:22 GMT 2025","Get entity","Files","",""
"","19","Delete exercise","LMS service","Fri May 30 04:00:19 GMT 2025","passed","Fri May 30 04:00:19 GMT 2025","Delete entity","Exercises","",""
"","264","Create file with empty filename","LMS service","Fri May 30 04:00:22 GMT 2025","passed","Fri May 30 04:00:22 GMT 2025","Validate entity","Files","",""
"","269","Create file with incorrect file id","LMS service","Fri May 30 04:00:24 GMT 2025","passed","Fri May 30 04:00:25 GMT 2025","Validate entity","Files","",""
"","278","Create exercise","LMS service","Fri May 30 04:00:18 GMT 2025","passed","Fri May 30 04:00:18 GMT 2025","Create entity","Exercises","",""
"","14","Get user me","LMS service","Fri May 30 04:00:26 GMT 2025","passed","Fri May 30 04:00:26 GMT 2025","Get entity","Users","",""
"","265","Create file with empty directory","LMS service","Fri May 30 04:00:23 GMT 2025","passed","Fri May 30 04:00:23 GMT 2025","Validate entity","Files","",""
"","21","Get exercises","LMS service","Fri May 30 04:00:20 GMT 2025","passed","Fri May 30 04:00:20 GMT 2025","Get entities","Exercises","",""
